,0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.014557432795436205
465,0.10144009611723676
466,0.21425632363188257
467,0.31294685473886963
468,0.3038803905955439
469,0.21983461892575523
470,0.11330672575482391
471,0.014835735457500663
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.01218329073107987
489,0.07434435306579974
490,0.1979164479802916
491,0.2639892541838529
492,0.11796033801022433
493,0.042400757191304435
494,0.01775016010920794
495,0.0014135490049725571
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.015769396001200777
513,0.11469089383359612
514,0.24127861436781867
515,0.32684158442112
516,0.3367086788034054
517,0.25997630934698807
518,0.1230350768744965
519,0.01753959680477207
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0037901394798455865
537,0.030381509964843192
538,0.07673073718273957
539,0.11866792864954953
540,0.1632461389270357
541,0.2009377865578946
542,0.13463074908156927
543,0.03784671363024966
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0033820710603962335
561,0.0369971151809561
562,0.09431685378732885
563,0.15061315679772266
564,0.1872609654116301
565,0.20028814163413122
566,0.13765780061704458
567,0.03997275009558079
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.028275060783645643
585,0.10292791357454911
586,0.16125558117696176
587,0.1282028553384031
588,0.12811144801244642
589,0.11366092914290596
590,0.07040812509179128
591,0.011957220826704928
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.006425445332649505
609,0.042693750316469055
610,0.0701412483454714
611,0.07612434751143782
612,0.05783145640436224
613,0.03727705011669836
614,0.02099675245434698
615,0.0029935899250804502
616,0.0
617,0.0
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.0
632,0.032214553305009684
633,0.08782856591808415
634,0.10048848056308086
635,0.12529822432876261
636,0.11918944008960577
637,0.08789630527571275
638,0.03652212354071705
639,0.006804132825898504
640,0.0
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.0
656,0.04666507217455017
657,0.15824485237826447
658,0.2782447163488967
659,0.34065143587212504
660,0.34604936492460103
661,0.32308245814115266
662,0.24055225258119883
663,0.09078951036960865
664,0.0
665,0.0
666,0.0
