,0
447,0.006525186264154294
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.17306691236831037
465,0.3597077820854598
466,0.4756221127920112
467,0.525680829939566
468,0.5176942825335804
469,0.44621451623730723
470,0.30468210718269767
471,0.09655004298202195
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,4.509342951936676e-05
488,0.14783797361573428
489,0.3152690423576335
490,0.45416599097588894
491,0.5199147164056545
492,0.5034497691865183
493,0.4322130063715438
494,0.299355237054845
495,0.09653751702937767
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.015344291989228967
513,0.08007340487375109
514,0.19350175151217006
515,0.41071346125292124
516,0.4259517001764288
517,0.3599574660748356
518,0.17403308084893832
519,0.028247693339844802
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.00960907580517321
537,0.03551358093703018
538,0.08040659521408863
539,0.12335057125969892
540,0.17270282467811698
541,0.20074425733108617
542,0.14831061956217803
543,0.043369023372005794
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,8.768166850987981e-05
560,0.09489160685192079
561,0.2468623097767541
562,0.2959414974275271
563,0.28523264298018713
564,0.19434850591092265
565,0.12571463605542718
566,0.07211274443656362
567,0.01652173153779021
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0020024822960637316
585,0.008817435598055437
586,0.01670043512884844
587,0.03355619207048581
588,0.059944198974411535
589,0.10114623253895887
590,0.06867144771342824
591,0.01795470052029453
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0326417975274542
609,0.093922933180764
610,0.1563405902706638
611,0.19945575433574572
612,0.200729226187913
613,0.1501510995373759
614,0.05352506577597872
615,0.008447502463294706
616,0.0
617,0.0
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.0
632,0.008698021516180075
633,0.038758637735405346
634,0.08640569146718365
635,0.1689391934402691
636,0.2771024646505472
637,0.1927276476387543
638,0.10294078402112775
639,0.021251531256266012
640,0.0
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.0017477879256302706
656,0.1053866850407986
657,0.25504092178995186
658,0.408788639863252
659,0.46673787211318635
660,0.4840729555093444
661,0.43293533630736336
662,0.2964734328831537
