name,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,RS,SE,SI,SK
2015-08-01 08:00:00,54.046698687,28.3133906213,54.1185889247,28.3152053662,54.1185464203,54.0425127425,54.1188820234,54.1176972892,54.0505407269,54.117377069,53.9444703235,54.1185621072,54.118185109,54.0978818261,28.3131364704,28.315097452,54.1116358318,54.1178929453,54.0576718851,54.0356421046,54.0550470201,54.1189516899,37.3107477516,54.1183704702,54.1179797726,28.3123297381,28.3127515009,37.3122138046,54.045804381,28.3238891942
2015-08-01 09:00:00,54.0415549761,2.67239099668,54.0502295699,2.67407473127,54.0499148563,52.6473826994,54.0507500078,54.0499878518,45.6378447383,1.4186011394,45.2429821425,54.0498925108,54.0480167285,54.0431730895,2.67179721185,2.67469101873,54.0478307044,54.0494774081,45.6487276476,53.9880441438,45.6450585277,54.0516027406,37.3107328091,54.0300142081,1.41952690271,2.67352155885,2.67252057713,37.3121489867,54.0400118488,11.3440983722
2015-08-01 10:00:00,54.0253442117,2.66579637417,54.046111365,2.66999110389,54.0459529313,48.127151625,54.0463771674,54.0456888284,44.679338411,1.41460274751,37.3262045854,54.0460882944,50.61657309,54.0452039556,2.66479959382,2.6702296846,50.625487792,54.045297628,44.6993678267,53.758927059,44.6920152802,54.046827696,37.3107155296,52.6580351305,1.41534839704,2.67000834178,2.66669568677,37.312055597,54.0240768494,10.2297203681
2015-08-01 11:00:00,54.0344682564,2.67388266309,54.0449294448,2.67824962052,54.0450856055,52.642919435,54.0453609244,54.0448360377,44.2875818469,0.0144044523894,37.3165498141,54.0449953501,28.8866260902,54.115525046,2.67282713691,2.67684472579,32.0162308083,54.0448190331,44.6917080705,53.750403654,44.5998910442,54.0456373149,37.3106742679,52.6579841144,0.018102226354,2.67627604118,2.67458976689,37.3119863566,54.0327740479,10.8426558726
2015-08-01 12:00:00,54.0417529795,11.4550367164,54.045555165,52.4513762733,54.0461637471,52.6572095983,54.0461851924,54.0458206113,43.9403473628,0.0135930899109,37.3453332478,54.0455506114,31.3310908991,54.1193823286,11.4541713371,11.4561851691,31.3297258091,54.0460901472,44.6918582492,53.7510109873,44.6800146957,54.0465008617,37.3106764491,52.6600486114,0.0155738895508,11.4552913917,11.4552469179,37.3120715259,54.0392182643,11.4587967032
2015-08-01 13:00:00,54.0448048933,53.4882081249,54.0468944507,54.1058637539,54.0486515242,54.0444417858,54.0486186312,54.0482931347,37.6705697806,0.0750886507848,37.6419759348,54.0464803595,27.9990041025,54.1214468713,53.4876160658,53.4907234188,27.9990283214,54.0487772679,44.6895765214,53.7703764603,44.6073082592,54.0488890171,37.3106778476,54.0480176603,0.0757577739931,53.4900801218,53.4894652905,37.3120336906,54.0426515763,53.4915166803
2015-08-01 14:00:00,54.1179935818,54.116286983,54.0491736244,54.1190624198,54.118685865,54.1189196241,54.1190121795,54.1186091518,44.669154765,1.41804240366,44.6634877906,54.0474958423,27.9319912418,54.1618371244,54.1159050125,54.117337412,27.9539206868,54.1186292371,44.6921938102,54.0328385649,44.6845859632,54.1187176626,37.3106828058,54.1200528934,1.41835503128,54.1173063475,54.1170233936,37.3120376369,54.1174346323,54.1177511337
2015-08-01 15:00:00,65.0543860467,65.0528290416,54.1187420273,65.0539068502,65.0548164849,65.0549692445,65.0550511525,65.0541621476,53.9074311586,1.42016848622,53.9050753353,54.11751111,28.8804082828,75.7887583801,65.0528305929,65.0534804908,31.1051986346,65.0546951247,53.9122917594,65.026499411,53.9103063607,65.0431513753,37.3106890802,65.0627073002,1.42074671386,65.0531516123,65.0529765994,37.3121214361,65.053807027,65.0540553592
2015-08-01 16:00:00,65.0696234013,65.0709428043,54.1224495235,65.076446797,65.0723941725,65.0692457556,65.0696354249,65.0689349982,54.1120917939,54.118441177,54.1102223386,54.1188053327,53.8341322502,75.8043923415,65.0706938449,65.0702734468,54.1162561002,65.0729691938,54.1142456068,65.0692163085,54.1131358111,65.0672635341,37.3107358142,65.0697057099,54.1186746799,65.0704600908,65.0710744078,37.3124123789,65.071070846,65.0693783982
2015-08-01 17:00:00,72.0262302537,70.1864682671,72.0245704049,70.1699348725,72.0608058599,70.1999644917,72.0263697066,72.0257053519,54.1256633285,72.0228829008,54.1252461755,72.0229323885,54.118899947,75.8082292638,70.1879075807,70.1880100593,68.0511769751,72.064930202,54.1265044026,72.0262874478,54.1259285546,72.0258794726,37.3107469757,72.0235134087,72.0230489631,70.1442587619,70.1704301046,37.3130636433,72.025470493,70.1886703151
